count,key,pressing_time,reaction_speed
1,p,0.1221177,0.5081018
2,;,0.1042943,0.0443675
3,p,0.1241672,0.058387
4,;,0.5400614,0.0862948
5,p,0.0998794,0.2648456
6,;,0.0875704,0.0569565
7,p,0.1279702,0.0651153
8,;,0.6000235,0.1034592
9,p,0.1039526,0.2285171
10,;,0.1204932,0.0983168
11,p,0.1082696,0.067248
12,;,0.1252682,0.0703596
13,p,0.0759484,0.1303286
14,;,0.0963993,0.0521001
15,p,0.1320101,0.0370335
16,;,0.0680925,0.041346
17,p,0.1241111,0.1784886
18,;,0.076096,0.0724752
19,p,0.0759105,0.120671
20,;,0.0762708,0.0709194
21,q,0.1039956,0.3441111
22,a,0.1439156,0.0981733
23,q,0.1079886,0.0680277
24,a,0.135856,0.0225287
25,q,0.1080515,0.0600062
26,a,0.1279916,0.0305543
27,q,0.1480092,0.0140145
28,a,0.1123632,0.0568273
29,q,0.1321128,0.0327008
30,a,0.1360922,0.0599645
31,q,0.0996934,0.0764584
32,a,0.1360716,0.0358815
33,q,0.0800669,0.0706389
34,a,0.1238429,0.0230184
35,q,0.1044202,0.0595304
36,a,0.1159189,0.0623429
37,q,0.1039531,0.0530971
38,a,0.0958701,0.0798915
39,q,0.1079496,0.0155295
40,a,0.0958969,0.0258152
41,o,0.0839885,0.2967483
42,l,0.076115,0.0790488
43,o,0.0678032,0.0768847
44,l,0.0959494,0.0648914
45,o,0.0805892,0.1482215
46,l,0.0799453,0.1024062
47,o,0.0837583,0.1555455
48,l,0.0638671,0.1282595
49,o,0.063579,0.1177412
50,l,0.0798172,0.0727018
51,o,0.0759979,0.086446
52,l,0.0923092,0.0760209
53,o,0.0800886,0.0755253
54,l,0.0801229,0.0863928
55,o,0.0839825,0.0742067
56,l,0.0960171,0.1123195
57,o,0.0799552,0.1064089
58,l,0.095929,0.0980383
59,o,0.0718376,0.065693
60,l,0.08794,0.0764828
61,w,0.1042116,0.3785311
62,s,0.1119507,0.0701029
63,w,0.1162299,0.0214782
64,s,0.1077089,0.0254298
65,w,0.0998962,0.0716458
66,s,0.107597,0.0286298
67,w,0.1039467,0.0788321
68,s,0.137513,0.0036207
69,w,0.1160775,0.0464119
70,s,0.1202108,0.0473076
71,w,0.1239431,0.019075
72,s,0.124118,0.0101333
73,w,0.0962934,0.0385865
74,s,0.092301,0.0175338
75,w,0.1197556,0.0310156
76,s,0.6159215,0.0830736
77,w,0.1039439,0.2084275
78,s,0.1084204,0.0831748
79,w,0.104196,0.0708805
80,s,0.596431,0.0860802
p/;,4,4.5,0.5
q/;,1,1,0
o/a,3,3,0
w/s,1,1,0
