count,key,pressing_time,reaction_speed
1,p,0.10680309999999871,0.5322716000000014
2,;,0.08003990000000094,0.18892789999999948
3,p,0.07979730000000096,0.08740640000000077
4,;,0.10397940000000006,0.07421560000000049
5,p,0.09218749999999964,0.09491069999999979
6,;,0.09644349999999946,0.1299576000000009
7,p,0.08001390000000086,0.06826550000000076
8,;,0.04805019999999871,0.11878320000000109
9,p,0.07996980000000065,0.11539969999999933
10,;,0.079925900000001,0.02219829999999945
11,p,0.09638659999999888,0.02297860000000007
12,;,0.07607910000000118,0.08983759999999918
13,p,0.06873299999999993,0.1032232999999998
14,;,0.08436870000000063,0.03035159999999948
15,p,0.04762500000000003,0.1005672999999998
16,;,0.09257199999999877,0.04800180000000154
17,p,0.07592460000000045,0.044367000000001156
18,;,0.09581000000000017,0.007431600000000316
19,p,0.10007029999999872,0.06836540000000113
20,;,0.07999570000000134,0.03227369999999752
21,q,0.1039441000000032,0.2575917999999966
22,a,0.10797619999999952,0.04121960000000158
23,q,0.09584209999999871,0.0753781999999994
24,a,0.11201630000000051,0.021109599999999062
25,q,0.11200629999999734,0.0678535999999994
26,a,0.11982289999999907,0.013377500000000708
27,q,0.08797739999999976,0.018993900000001673
28,a,0.09997770000000017,0.051443599999998924
29,q,0.1079010000000018,0.011121599999999177
30,a,0.10790220000000161,0.041150500000000534
31,q,0.10388479999999944,0.026352299999999218
32,a,0.11196169999999839,0.029384800000002542
33,q,0.0799769000000019,0.04461069999999978
34,a,0.11995950000000022,0.024360700000002566
35,q,0.08842770000000044,0.4314423000000005
36,a,0.4998687000000004,0.10324409999999773
37,q,0.06412139999999766,0.2224015000000037
38,a,0.4242053000000041,0.1016508000000016
39,q,0.10393049999999704,0.21487600000000384
40,a,0.10408559999999767,0.05324120000000221
41,o,0.0561347000000012,0.2823114999999987
42,l,0.08825089999999847,0.2243025000000003
43,o,0.09202449999999374,0.04999959999999959
44,l,0.09212010000000248,0.05406659999999874
45,o,0.08400699999999972,0.03254559999999884
46,l,0.0803432000000015,0.12307289999999682
47,o,0.10785020000000145,0.03631250000000108
48,l,0.09597550000000155,0.0325287000000003
49,o,0.07607640000000515,0.019869299999996315
50,l,0.09206089999999989,0.02156180000000063
51,o,0.07989949999999624,0.22952760000000438
52,l,0.0918394000000049,0.04279099999999403
53,o,0.03198760000000078,0.08976189999999917
54,l,0.0920301999999964,0.14433890000000105
55,o,0.07194570000000056,0.0899136000000027
56,l,0.09208629999999829,0.054108700000000454
57,o,0.07993940000000066,0.14657659999999595
58,l,0.09200100000000333,0.012196499999994614
59,o,0.0760025000000013,0.03386040000000179
60,l,0.07624990000000054,0.10254799999999875
61,w,0.07998380000000083,0.29400329999999997
62,s,0.09993790000000047,0.0434794000000025
63,w,0.08007840000000499,0.00801819999999509
64,s,0.09983910000000407,0.021255799999998715
65,w,0.10817299999999364,0.042662100000001146
66,s,0.07595440000000053,0.040039100000001326
67,w,0.10379809999999878,0.0505745000000033
68,s,0.08396160000000208,0.039461299999999255
69,w,0.10403549999999484,0.021150900000002082
70,s,0.08390499999999435,0.026563900000006413
71,w,0.09990200000000016,0.03384150000000119
72,s,0.10009450000000442,0.04834979999999689
73,w,0.12400079999999747,0.05646920000000222
74,s,0.11207000000000278,0.024138399999998228
75,w,0.11608289999999499,0.05707540000000222
76,s,0.09201930000000402,0.04407849999999769
77,w,0.08800810000000325,0.036408999999999025
78,s,0.09199909999999534,0.024091200000000867
79,w,0.11970420000000104,0.04735900000000015
80,s,0.6000350999999995,0.07976100000000486
p/;,3.5,4.0,0.5
q/;,1.0,1.0,0.0
o/a,3.0,3.0,0.0
w/s,1.0,1.0,0.0
