count,key,pressing time,reaction speed,pre-damage,post-damage,gap
1,p,0.11483310000000024,0.3675788999999998,,,
2,;,0.0718513999999999,0.16451049999999956,,,
3,p,0.09205739999999984,0.09078419999999987,,,
4,;,0.11599109999999957,0.0724942000000004,,,
5,p,0.12002510000000033,0.061893399999999765,,,
6,;,0.0799398,0.03031489999999959,,,
7,p,0.1277311999999995,0.22820850000000092,,,
8,;,0.11593030000000049,0.056726699999998687,,,
9,p,0.11594140000000053,0.04607779999999906,,,
10,;,0.5317091999999999,0.12977880000000042,,,
11,p,0.11994669999999985,0.25677400000000006,,,
12,;,0.10436250000000058,0.07221479999999936,,,
13,p,0.1200177999999994,0.09291570000000071,,,
14,;,0.09581859999999942,0.07533630000000002,,,
15,p,0.0839565000000011,0.07021009999999883,,,
16,;,0.10798780000000008,0.04625399999999935,,,
17,p,0.11217000000000077,0.10194309999999973,,,
18,;,0.09598339999999972,0.057675699999999,,,
19,p,0.09194229999999948,0.1192650000000004,,,
20,;,0.12800790000000006,0.02623260000000016,,,
21,q,0.11208609999999908,0.43770819999999944,,,
22,a,0.14009699999999725,0.07384840000000281,,,
23,q,0.0999933999999989,0.08956739999999996,,,
24,a,0.12817830000000185,0.09845909999999947,,,
25,q,0.10397160000000127,0.07426289999999725,,,
26,a,0.11608320000000205,0.08218149999999724,,,
27,q,0.10406580000000076,0.0791493999999986,,,
28,a,0.13187489999999968,0.029118700000001496,,,
29,q,0.10292310000000171,0.08985299999999796,,,
30,a,0.1481408999999978,0.02171859999999981,,,
31,q,0.10402859999999947,0.12703559999999925,,,
32,a,0.13132569999999788,0.001316599999999113,,,
33,q,0.11972439999999906,0.11032090000000139,,,
34,a,0.13590269999999904,0.025833500000000953,,,
35,q,0.10801820000000006,0.0548794000000008,,,
36,a,0.1071537000000049,0.0319292999999945,,,
37,q,0.10387529999999856,0.01774329999999935,,,
38,a,0.11200369999999538,0.07403300000000002,,,
39,q,0.1279491999999962,0.050893100000003244,,,
40,a,0.13198630000000122,0.004913100000003112,,,
41,o,0.132053599999999,0.32206589999999835,,,
42,l,0.08792569999999955,0.16166729999999774,,,
43,o,0.11150160000000398,0.07450000000000045,,,
44,l,0.1000738000000041,0.1384570000000025,,,
45,o,0.10797009999999574,0.32332910000000226,,,
46,l,0.09219410000000039,0.05732880000000051,,,
47,o,0.08787259999999719,0.05804910000000518,,,
48,l,0.11198879999999889,0.07381910000000147,,,
49,o,0.08792550000000432,0.0945692999999963,,,
50,l,0.08393219999999957,0.09918410000000222,,,
51,o,0.10407610000000034,0.09186969999999661,,,
52,l,0.1123896000000002,0.12824529999999612,,,
53,o,0.11174749999999989,0.06100439999999452,,,
54,l,0.08774559999999809,0.07632330000000564,,,
55,o,0.10808169999999961,0.10191349999999488,,,
56,l,0.13183509999999643,0.06983689999999854,,,
57,o,0.10808190000000195,0.1539502999999982,,,
58,l,0.1162291000000053,0.13130289999999434,,,
59,o,0.12407089999999954,0.11025709999999833,,,
60,l,0.12402980000000241,0.07013119999999873,,,
61,w,0.1156773999999956,0.39029800000000137,,,
62,s,0.09185459999999068,0.08623400000000458,,,
63,w,0.11589510000000303,0.08596930000000214,,,
64,s,0.12002789999999663,0.04559170000000279,,,
65,w,0.12401640000000214,0.08208609999999794,,,
66,s,0.11206760000000315,0.02946579999999699,,,
67,w,0.11618759999998929,0.09802730000001247,,,
68,s,0.10383319999999685,0.005557400000000712,,,
69,w,0.1120089000000064,0.020526399999994283,,,
70,s,0.07565469999998697,0.44598140000000797,,,
71,w,0.10384779999999694,0.12961869999999465,,,
72,s,0.10398409999999103,0.2131854000000004,,,
73,w,0.11999169999999992,0.14822030000000552,,,
74,s,0.12395960000000628,0.06616799999999046,,,
75,w,0.10780290000001003,0.15269509999998832,,,
76,s,0.10398430000000758,0.09428849999999045,,,
77,w,0.11177530000000502,0.17140399999999545,,,
78,s,0.10030690000000675,0.061019099999995774,,,
79,w,0.0881235000000089,0.16595889999999258,,,
80,s,0.1081335000000081,0.12587130000000002,,,
,p/;,,,3.0,3.0,0.0
,q/;,,,1.0,1.0,0.0
,o/a,,,1.5,1.5,0.0
,w/s,,,1.0,1.0,0.0
