âÒêî,ì¸óÕÉLÅ[,âüâ∫éûä‘,îΩâûéûä‘
1,p,0.18260909999999964,0.6861672000000003
2,p,0.12797880000000017,0.525318
3,p,0.13986680000000007,0.4172034
4,p,0.0999756000000005,0.3647758999999997
5,p,0.1400074,0.5535094000000003
6,p,0.13205830000000063,0.390917599999999
7,p,0.12019259999999932,0.6368404000000005
8,p,0.192003699999999,0.41283970000000103
9,p,0.14786449999999896,0.39507470000000033
10,p,0.1599895,0.3449043000000014
11,p,0.11993110000000051,0.40191219999999994
12,p,0.14814289999999986,0.47703650000000053
13,p,0.10402720000000087,0.47504029999999986
14,p,0.13198660000000118,0.40284720000000007
15,p,0.18395410000000112,0.3416744999999999
16,q,0.1640636999999998,0.4099801999999997
17,q,0.1599794999999986,0.2912517000000001
18,q,0.16798460000000048,0.3883642999999992
19,q,0.1560695999999986,0.2791503000000013
20,q,0.16398380000000046,0.4392725000000013
21,q,0.15588830000000087,0.3172238000000007
22,q,0.16013819999999868,0.38169550000000285
23,q,0.1399197000000001,0.36332960000000014
24,q,0.12403169999999974,0.4991146999999998
25,q,0.12813809999999748,0.31060870000000307
26,q,0.11976089999999928,0.3652014000000001
27,q,0.10397779999999912,0.5050469
28,q,0.13585479999999706,0.39905159999999995
29,q,0.10802070000000441,0.3890349999999998
30,q,0.16029009999999744,0.42094000000000165
31,o,0.10782259999999866,0.3579681000000008
32,o,0.09210540000000123,0.33123390000000086
33,o,0.0639282999999935,0.47334670000000045
34,o,0.07999569999999778,0.46898990000000396
35,o,0.08790389999999348,0.49022560000000226
36,o,0.087978200000002,0.41840369999999893
37,o,0.12000369999999805,0.44896969999999925
38,o,0.09600280000000083,0.41266719999999424
39,o,0.09593869999999782,0.4109580000000008
40,o,0.10794690000000173,0.7132828000000018
41,o,0.09598199999999935,0.38819600000000065
42,o,0.10001019999999983,0.3908139999999989
43,o,0.08799470000000298,0.3951750999999959
44,o,0.09597289999999958,0.38885060000000493
45,o,0.11195790000000017,0.4366956000000002
46,w,0.12397520000000384,1.2726704999999967
47,w,0.14400089999999466,0.3807851000000042
48,w,0.09997179999999872,0.3530425000000008
49,w,0.1441603000000029,0.33169170000000037
50,w,0.13200069999999897,0.24400740000000098
51,w,0.1360584999999972,0.45778640000000337
52,w,0.12779850000000437,0.2471076999999937
53,w,0.14394819999999697,0.33497580000000227
54,w,0.10783130000000085,0.2702467000000013
55,w,0.1360709,0.29922349999999653
56,w,0.13200690000000037,0.2810960000000051
57,w,0.12777589999998895,0.311262499999998
58,w,0.1159911999999963,0.35811170000000914
59,w,0.11984379999999817,0.3540870000000069
60,w,0.13202520000000106,0.27186869999999885
