count,key,pressing_speed,reaction_lag
1,p,0.1245213999999999,0.3358257
2,;,0.1034626000000003,0.08038589999999957
3,p,0.14391459999999956,0.2123419000000002
4,;,0.12397020000000047,0.036759799999999565
5,p,0.1441018999999999,0.06388790000000011
6,;,0.11998330000000035,0.10760539999999974
7,p,0.11192180000000018,0.0418352999999998
8,;,0.12797000000000036,0.03804379999999963
9,p,0.1239871999999993,0.044182100000000446
10,;,0.11994789999999966,0.05030010000000118
11,p,0.09601529999999947,0.08903970000000072
12,;,0.11234720000000031,0.03774709999999892
13,p,0.11601399999999984,0.0961463000000009
14,;,0.10024570000000033,0.02386369999999971
15,p,0.13584700000000005,0.08384230000000059
16,;,0.1400378,0.05277520000000102
17,p,0.12808670000000077,0.07891919999999963
18,;,0.1279785000000011,0.04820009999999897
19,p,0.10798340000000017,0.06823409999999974
20,;,0.1201585999999999,0.04827949999999959
21,q,0.14494200000000035,0.35605199999999826
22,a,0.17207280000000225,0.024218199999999968
23,q,0.14344480000000104,0.046906400000001014
24,a,0.15595989999999915,0.01609679999999969
25,q,0.13199750000000066,0.016086800000000068
26,a,0.1721326000000012,0.02380989999999983
27,q,0.10389160000000075,0.18241150000000061
28,a,0.1642002999999974,0.05342410000000086
29,q,0.12796900000000022,0.020143999999998385
30,a,0.13216329999999843,0.06400059999999996
31,q,0.11216639999999956,0.06212820000000008
32,a,0.08794170000000179,0.06853789999999904
33,q,0.0960162000000011,0.08426279999999764
34,a,0.0960119000000006,0.032280000000000086
35,q,0.09608920000000154,0.2925514000000007
36,a,0.10822059999999922,0.06418670000000049
37,q,0.09576939999999823,0.008441300000001206
38,a,0.5518956000000017,0.0481601999999981
39,q,0.10791640000000058,0.20988129999999927
40,a,0.4400176999999985,0.1079983999999996
41,o,0.0719536000000005,0.37418639999999925
42,l,0.08820359999999994,0.0637984999999972
43,o,0.09588569999999663,0.10439240000000183
44,l,0.11169770000000057,0.07619100000000145
45,o,0.07999050000000096,0.10397830000000141
46,l,0.08001800000000259,0.07333769999999618
47,o,0.07122329999999977,0.03294400000000053
48,l,0.07996370000000042,0.03628899999999646
49,o,0.06794730000000015,0.1426256999999964
50,l,0.07596420000000137,0.06118520000000416
51,o,0.07997440000000466,0.07609490000000108
52,l,0.08798029999999812,0.06821949999999788
53,o,0.07602980000000059,0.10405449999999661
54,l,0.09597149999999743,0.11180900000000094
55,o,0.10797679999999588,0.07700660000000425
56,l,0.08796610000000271,0.06207510000000127
57,o,0.07189410000000152,0.09976120000000321
58,l,0.11234870000000541,0.09741669999999658
59,o,0.08017879999999877,0.07051550000000617
60,l,0.11214640000000031,0.07772570000000201
61,w,0.11979339999999894,0.29232689999999906
62,s,0.10005389999999892,0.24823949999999684
63,w,0.10782240000000343,0.08043370000000039
64,s,0.09196120000000008,0.07332819999999884
65,w,0.09207269999999568,0.12801220000000058
66,s,0.08811190000000124,0.07519830000000383
67,w,0.11204310000000817,0.13184900000000255
68,s,0.08806249999999238,0.08116830000000164
69,w,0.09600530000000163,0.08211430000000064
70,s,0.1075256999999965,0.020246100000008482
71,w,0.09681810000000723,0.08370680000000164
72,s,0.11624390000000062,0.03735769999998695
73,w,0.119917099999995,0.18144180000000176
74,s,0.12404899999999941,0.036252599999997415
75,w,0.42400630000000206,0.12019109999999955
76,s,0.0919260999999949,0.20889730000000384
77,w,0.10806089999999813,0.06980520000000467
78,s,0.131824299999991,0.08819599999999639
79,w,0.09630860000000041,0.11549570000001097
80,s,0.10394619999999577,0.08902969999999755
p/;,3.0,1.0,-2.0
q/;,1.0,1.5,0.5
o/a,2.0,2.0,0.0
w/s,1.0,1.0,0.0
