count,key,pressing_time,reaction_speed
1,p,0.09026609999999913,0.46010419999999996
2,;,0.08791169999999937,0.030157000000000878
3,p,0.09203019999999995,0.06813970000000147
4,;,0.07998569999999994,0.05546170000000039
5,p,0.08849600000000102,0.08633369999999907
6,;,0.08838659999999976,0.02146340000000002
7,p,0.06808589999999981,0.06591210000000025
8,;,0.09218279999999979,0.04832590000000003
9,p,0.11178639999999973,0.07842899999999986
10,;,0.09155209999999947,0.07646410000000081
11,p,0.12471809999999905,0.32935980000000065
12,;,0.5838377000000001,0.07785069999999905
13,p,0.08343959999999839,0.24211139999999887
14,;,0.09947719999999904,0.05782250000000033
15,p,0.17196859999999958,0.06762349999999984
16,;,0.08445090000000022,0.028988300000001743
17,p,0.1120625000000004,0.11088309999999879
18,;,0.10453580000000073,0.017191700000001475
19,p,0.10855510000000024,0.13105080000000058
20,;,0.12765689999999807,0.28065929999999994
21,q,0.11203520000000111,0.36504409999999865
22,a,0.12354609999999866,0.13871560000000116
23,q,0.11632399999999876,0.06631050000000016
24,a,0.11643470000000278,0.05257029999999929
25,q,0.1285279999999993,0.10262970000000138
26,a,0.13280789999999953,0.006945500000000493
27,q,0.10836899999999616,0.05399200000000093
28,a,0.12802540000000562,0.1453624999999974
29,q,0.13192830000000555,0.04704579999999936
30,a,0.12818090000000382,0.07484469999999988
31,q,0.6562275,0.057030799999999715
32,a,0.1403555000000054,0.23538500000000084
33,q,0.12012210000000323,0.12240489999999937
34,a,0.11594649999999973,0.11855460000000306
35,q,0.14025740000000297,0.01965359999999805
36,a,0.14451830000000143,0.011589499999999475
37,q,0.12378290000000192,0.06979259999999954
38,a,0.6196447999999961,0.11449370000000414
39,q,0.11603750000000446,0.1825899999999976
40,a,0.14003530000000097,0.05728260000000063
41,o,0.09625780000000361,0.3453979999999959
42,l,0.09190820000000599,0.037719399999993186
43,o,0.05204419999999743,0.15250580000000014
44,l,0.08803219999999357,0.16001070000000084
45,o,0.063642999999999,0.10429340000000309
46,l,0.05593790000000354,0.17478539999999754
47,o,0.07594289999999404,0.13137970000000365
48,l,0.10408440000000496,0.0859501999999992
49,o,0.08818810000000354,0.037048499999997375
50,l,0.059846799999995426,0.07175690000000401
51,o,0.09610409999999803,0.10586389999999568
52,l,0.1202024000000037,0.1043199999999942
53,o,0.0958101999999954,0.09519080000000457
54,l,0.09213679999999869,0.07078340000000338
55,o,0.0918204999999972,0.10550100000000384
56,l,0.0919224000000014,0.053829700000001424
57,o,0.0921030000000016,0.07381089999999801
58,l,0.08431909999999476,0.0673136999999997
59,o,0.0881365000000045,0.08503869999999836
60,l,0.12000930000000665,0.060922199999993154
61,w,0.11600409999999783,0.311512399999998
62,s,0.10001989999999239,0.08083340000000305
63,w,0.11580240000000686,0.04852719999999522
64,s,0.09996680000000424,0.029759799999993675
65,w,0.10850529999999026,0.11017300000000319
66,s,0.09210370000000978,0.12647059999999044
67,w,0.09997149999999522,0.07928490000000465
68,s,0.0957517000000081,0.04694599999999127
69,w,0.10010929999999973,0.07314430000000982
70,s,0.10770829999999876,0.04507479999999475
71,w,0.10803450000000225,0.09196709999999086
72,s,0.11663020000000301,0.043631099999998924
73,w,0.08799160000000938,0.07412509999998917
74,s,0.12054760000000897,0.004949099999990381
75,w,0.07214770000000215,0.06998470000000623
76,s,0.11209089999999833,0.08720399999999984
77,w,0.10404809999999998,0.11146850000000086
78,s,0.13162499999999966,0.020597300000005703
79,w,0.09993620000000192,0.03668820000000039
80,s,0.6880989,0.11533270000001039
p/;,4.0,4.0,0.0
q/;,1.0,1.0,0.0
o/a,2.0,2.5,0.5
w/s,1.0,1.0,0.0
