回数,入力キー,押下時間,反応時間
1,p,0.1109043999999999,0.3464951000000003
2,;,0.12400629999999957,0.3752943000000002
3,p,0.10416359999999969,0.2666429000000008
4,;,0.1311125999999998,0.3480300999999999
5,p,0.09565090000000076,0.3012800000000002
6,;,0.14000580000000085,0.23974489999999982
7,p,0.0801166000000002,0.28295039999999894
8,;,0.1040700999999995,0.2749095999999991
9,p,0.08804760000000122,0.21820050000000002
10,;,0.14398910000000065,0.23892049999999898
11,p,0.1001757000000012,0.21272429999999964
12,;,0.15397570000000016,0.6699164
13,p,0.10399139999999996,0.15880529999999915
14,;,0.1518974999999987,0.1595507000000005
15,p,0.09595799999999954,0.2871370000000013
16,;,0.16791909999999888,0.2192387999999994
17,p,0.1480396000000006,0.41147129999999876
18,;,0.13203539999999947,0.11112329999999915
19,p,0.11201739999999916,0.1648436999999987
20,;,0.1560319000000021,0.23355319999999935
21,q,0.06807520000000267,0.44317729999999855
22,a,0.14802119999999874,0.7071109
23,q,0.10795820000000234,0.24321919999999864
24,a,0.11603449999999782,0.17537910000000068
25,q,0.10768769999999961,0.20066309999999987
26,a,0.16791010000000028,0.1212716999999941
27,q,0.12807260000000298,0.18299489999999707
28,a,0.14767340000000218,0.23554270000000344
29,q,0.0758433000000025,0.3050192999999979
30,a,0.1320296999999968,0.11087350000000384
31,q,0.10389310000000052,0.18000920000000065
32,a,0.13201159999999845,0.08995870000000394
33,q,0.09990460000000212,0.20327689999999876
34,a,0.10795309999999603,0.09730060000000407
35,q,0.12789680000000203,0.1299670000000006
36,a,0.11595229999999646,0.11539290000000335
37,q,0.10385679999999553,0.07524430000000137
38,a,0.13594810000000024,0.14323579999999936
39,q,0.09596609999999828,0.13079300000000416
40,a,0.13202150000000046,0.04313130000000598
41,o,0.09993269999999654,0.3442392000000041
42,l,0.11606300000000402,0.16204450000000037
43,o,0.09200540000000501,0.08116449999999986
44,l,0.12019550000000123,0.2150027999999935
45,o,0.05596779999999768,0.11206800000000072
46,l,0.08399409999999818,0.10123450000000389
47,o,0.12387890000000112,0.15672930000000207
48,l,0.09192799999999579,0.11331530000000356
49,o,0.08785019999999832,0.14325620000000328
50,l,0.12792590000000104,0.20742860000000007
51,o,0.09214839999999924,0.15761439999999993
52,l,0.09601739999999381,0.08709490000000386
53,o,0.1041388000000012,0.09547959999999733
54,l,0.10433150000000069,0.11070829999999887
55,o,0.1082170999999974,0.08772600000000352
56,l,0.08799859999999882,0.2193187000000023
57,o,0.10394220000000587,0.1428778999999949
58,l,0.08820579999999723,0.07330520000000007
59,o,0.08806690000000117,0.21918659999999335
60,l,0.0800158000000053,0.04905339999999825
61,w,0.10798279999998783,0.28922470000000544
62,s,0.11184269999999685,0.20488869999999793
63,w,0.1161089000000004,0.10693910000000528
64,s,0.08797629999999401,0.2571994999999987
65,w,0.10393439999999998,0.27480339999999615
66,s,0.10397619999999108,0.11713749999999834
67,w,0.09199999999999875,0.13510519999999815
68,s,0.10400700000000995,0.13540700000000072
69,w,0.0960937000000115,0.2030927999999932
70,s,0.11622660000000451,0.090748099999999
71,w,0.10017430000000616,0.22911080000000084
72,s,0.11998630000000787,0.09748059999999725
73,w,0.0959040999999985,0.1353203000000036
74,s,0.1320381000000026,0.11889809999999557
75,w,0.10409690000000182,0.15470950000000983
76,s,0.1480683000000056,0.1512881999999962
77,w,0.10017549999999176,0.15508409999999628
78,s,0.11199419999999805,0.18454779999999005
79,w,0.10794620000000066,0.1488915999999989
80,s,0.17602379999999584,0.04285380000000316
