count,key,pressing_time,reaction_speed
1,p,0.10227930000000018,0.48153249999999925
2,;,0.11153079999999971,0.22877400000000048
3,p,0.11242489999999972,0.04312750000000065
4,;,0.10756470000000018,0.06574059999999982
5,p,0.10391449999999924,0.06962040000000069
6,;,0.11628039999999995,0.008097900000000102
7,p,0.08026539999999915,0.06337380000000081
8,;,0.1124212,0.029978800000000305
9,p,0.07243069999999996,0.02095470000000077
10,;,0.1112889999999993,0.10988430000000093
11,p,0.09216309999999872,0.012895500000000837
12,;,0.09975000000000023,0.027517100000000738
13,p,0.09093570000000106,0.023419399999999868
14,;,0.11261089999999996,0.0166284000000001
15,p,0.10810799999999965,0.02282839999999986
16,;,0.11564200000000113,0.15110139999999994
17,p,0.09656439999999833,0.014231700000001624
18,;,0.11208809999999936,0.20070130000000042
19,p,0.10012069999999973,0.09524850000000029
20,;,0.1245958999999992,0.015956500000001483
21,q,0.12798629999998923,0.25675790000001086
22,a,0.11606639999999402,0.2157083999999969
23,q,0.14399789999998802,0.06982330000001014
24,a,0.12786040000000298,0.06824899999999445
25,q,0.13597110000000612,0.02926809999999591
26,a,0.14783979999999985,0.0073723999999941725
27,q,0.12798809999999605,0.0342143999999962
28,a,0.13193170000000976,0.02068260000000066
29,q,0.1080903999999947,0.036524700000001076
30,a,0.12399979999999289,0.03565520000000788
31,q,0.13196820000000287,0.04877979999999127
32,a,0.12403159999999502,0.029992800000002262
33,q,0.1279807999999889,0.055349900000010166
34,a,0.11599969999998905,0.006301500000006399
35,q,0.13999279999998748,0.06784220000000118
36,a,0.09999479999999039,0.16099210000000141
37,q,0.0840881999999965,0.10899790000000564
38,a,0.10786280000000659,0.026107199999998443
39,q,0.10426689999999894,0.11534860000000435
40,a,0.0959174000000047,0.1557281000000046
41,o,0.06011780000000044,0.2810644000000053
42,l,0.08765979999999729,0.043629699999996774
43,o,0.08004129999999066,0.1089113000000026
44,l,0.09612380000000087,0.07863690000000645
45,o,0.07177790000000073,0.09378230000000087
46,l,0.10009180000000129,0.11849739999999542
47,o,0.08832790000001012,0.09572500000000161
48,l,0.08398440000000562,0.048611800000003313
49,o,0.06401720000000921,0.13621409999998946
50,l,0.07178090000000736,0.06222309999999709
51,o,0.07998189999999283,0.14603850000000307
52,l,0.07593169999999816,0.020905100000007337
53,o,0.09198149999998861,0.1036593000000039
54,l,0.07997919999999681,0.04490260000000035
55,o,0.0720926999999989,0.10784119999999575
56,l,0.0880120000000062,0.06599359999999876
57,o,0.11199680000000001,0.07498549999999682
58,l,0.09603189999999984,0.020249300000003245
59,o,0.07595480000000521,0.04097189999998818
60,l,0.0759895000000057,0.03205130000000622
61,w,0.10010119999999745,0.8203005000000019
62,s,0.1001979999999918,0.42059430000000475
63,w,0.11235779999999806,0.20548990000000344
64,s,0.12412109999999643,0.06257759999999735
65,w,0.10798619999999914,0.13501999999999725
66,s,0.11191540000000089,0.0748778000000101
67,w,0.11200989999998967,0.20052530000000957
68,s,0.10795400000000654,0.33336199999999394
69,w,0.10798679999999194,0.10330659999999625
70,s,0.08788179999999102,0.07231680000001006
71,w,0.12000400000000866,0.0461262999999974
72,s,0.11188330000000235,0.014500699999999256
73,w,0.12399520000001019,0.29176969999998903
74,s,0.11993590000000154,0.046090300000003026
75,w,0.12010309999999436,0.027079499999999257
76,s,0.08006179999999574,0.17945930000000487
77,w,0.11998030000000881,0.06674819999999215
78,s,0.1040036999999927,0.1432053000000053
79,w,0.11992570000001024,0.04626589999999453
80,s,0.12798340000000508,0.031239099999993414
p/;,3.0,3.0,0.0
q/;,1.0,1.0,0.0
o/a,2.0,2.0,0.0
w/s,1.0,1.0,0.0
