count,key,pressing_time,reaction_speed
1,p,0.02233759999999929,0.3191059000000003
2,;,0.11240630000000085,0.14245969999999986
3,p,0.12808120000000045,0.4650672
4,;,0.11153779999999891,0.1719489000000003
5,p,0.08795079999999977,0.11718650000000075
6,;,0.14401880000000133,0.10706279999999957
7,p,0.1280739000000004,0.053129999999999455
8,;,0.10759410000000003,0.02971989999999991
9,p,0.11207229999999946,0.017743499999999912
10,;,0.11691850000000059,0.03003700000000009
11,p,0.12427560000000071,0.021401199999999676
12,;,0.12811709999999898,0.005591800000001257
13,p,0.1200954000000003,0.024705900000000725
14,;,0.11670789999999975,0.15018839999999933
15,p,0.14402380000000115,0.04787649999999921
16,;,0.09193100000000065,0.043459600000000265
17,p,0.11245400000000139,0.07934449999999948
18,;,0.11243040000000093,0.05832400000000071
19,p,0.09241250000000178,0.0521458999999993
20,;,0.11621430000000288,0.06174379999999857
21,q,0.11995329999999882,0.3014897999999988
22,a,0.1359831999999983,0.32154020000000116
23,q,0.13221490000000102,0.156317099999999
24,a,0.14003939999999915,0.04224269999999919
25,q,0.135943300000001,0.08233880000000227
26,a,0.14382030000000157,0.03250539999999802
27,q,0.10795230000000089,0.06451239999999814
28,a,0.12796449999999737,0.08096540000000019
29,q,0.10012229999999889,0.05403430000000142
30,a,0.14338490000000093,0.05341359999999895
31,q,0.12003209999999953,0.0029973999999981515
32,a,0.15196329999999847,0.06628350000000083
33,q,0.0839727000000039,0.30568539999999444
34,a,0.14401579999999825,0.07678980000000024
35,q,0.10809679999999844,0.2788271000000009
36,a,0.14410190000000256,0.027653599999993617
37,q,0.12415370000000081,0.10257980000000089
38,a,0.14375249999999795,0.043285900000000765
39,q,0.12396700000000038,0.045453499999993596
40,a,0.16009860000000486,0.023201399999997818
41,o,0.06021099999999535,0.26234200000000385
42,l,0.08792419999999623,0.07703419999999994
43,o,0.060131300000001886,0.1105552000000003
44,l,0.0918812000000031,0.08343529999999788
45,o,0.0763859999999994,0.09159120000000343
46,l,0.10842360000000184,0.08715759999999761
47,o,0.07974180000000075,0.09307840000000311
48,l,0.09199370000000329,0.06132699999999858
49,o,0.07594389999999862,0.07765640000000218
50,l,0.0764274999999941,0.0803937000000019
51,o,0.07591779999999915,0.0900749999999988
52,l,0.08803879999999964,0.0661561000000006
53,o,0.09165720000000022,0.08601099999999917
54,l,0.09641409999999695,0.05875490000000383
55,o,0.0520378000000008,0.09498539999999878
56,l,0.04794509999999974,0.11517820000000256
57,o,0.0603201999999996,0.13906020000000296
58,l,0.08791560000000231,0.05174010000000351
59,o,0.0719814999999997,0.08429380000000464
60,l,0.10808259999999592,0.0313104000000024
61,w,0.10002560000000216,0.2576830000000001
62,s,0.1360172999999989,0.003092000000002315
63,w,0.0879624000000021,0.13658900000000074
64,s,0.10780609999999768,0.026117800000001523
65,w,0.09208819999999918,0.13039719999999733
66,s,0.11993580000000037,0.02433510000000183
67,w,0.11997449999999787,0.052203200000001004
68,s,0.10368770000000183,0.025545499999999777
69,w,0.0719431000000057,0.10778919999999914
70,s,0.09230199999999655,0.060401099999999985
71,w,0.08801409999999521,0.06710010000000466
72,s,0.0959301000000039,0.08384909999999479
73,w,0.0959557999999987,0.08340390000000042
74,s,0.13607409999999476,0.08004850000000374
75,w,0.10402150000000177,0.05361779999999783
76,s,0.09175470000000985,0.0778430999999955
77,w,0.0840361999999999,0.26194710000000043
78,s,0.10001159999998777,0.006869000000008896
79,w,0.12385660000001053,0.00980489999999179
80,s,0.09619190000000799,0.005077399999990462
p/;,3.5,3.5,0.0
q/;,1.0,1.0,0.0
o/a,2.0,2.0,0.0
w/s,1.0,1.0,0.0
