count,key,pressing time,reaction speed,0,1,2,3
1,p,0.1071282,0.7407178000000005,,,,
2,;,0.11609850000000144,0.3440075999999994,,,,
3,p,0.11201110000000014,0.07989420000000003,,,,
4,;,0.11992449999999977,0.030854099999999107,,,,
5,p,0.1319379000000005,0.05815699999999957,,,,
6,;,0.6120720000000013,0.12105239999999995,,,,
7,p,0.12007370000000073,0.22230609999999906,,,,
8,;,0.11600050000000017,0.024934500000000526,,,,
9,p,0.09583470000000105,0.10003779999999907,,,,
10,;,0.10813779999999973,0.1033337999999997,,,,
11,p,0.13149570000000033,0.04625689999999949,,,,
12,;,0.11220639999999982,0.0035981000000013807,,,,
13,p,0.13996670000000044,0.06793470000000035,,,,
14,;,0.6399449999999991,0.09230669999999996,,,,
15,p,0.11211180000000098,0.1620209999999993,,,,
16,;,0.6239919999999977,0.09431100000000114,,,,
17,p,0.1356584000000005,0.22082950000000068,,,,
18,;,0.11613360000000128,0.04425469999999976,,,,
19,p,0.10802329999999927,0.10582760000000135,,,,
20,;,0.5880705000000006,0.12695220000000162,,,,
21,q,0.09202919999999892,0.32564220000000077,,,,
22,a,0.1279862999999999,0.06525359999999836,,,,
23,q,0.09991160000000221,0.0666620999999985,,,,
24,a,0.14794970000000163,0.06952949999999802,,,,
25,q,0.1400037999999988,0.06569870000000222,,,,
26,a,0.14008360000000053,0.027351199999998244,,,,
27,q,0.12782909999999958,0.19407509999999917,,,,
28,a,0.15174479999999946,0.06035710000000094,,,,
29,q,0.1522490999999988,0.1513452000000015,,,,
30,a,0.14800919999999707,0.01612920000000173,,,,
31,q,0.1118881000000016,0.07013339999999602,,,,
32,a,0.5560216000000011,0.0938674000000006,,,,
33,q,0.11598370000000102,0.2374010999999996,,,,
34,a,0.11990180000000095,0.16922429999999622,,,,
35,q,0.1078174999999959,0.14940290000000545,,,,
36,a,0.13205500000000114,0.052734499999999684,,,,
37,q,0.13200009999999907,0.10376579999999791,,,,
38,a,0.10795139999999748,0.07187040000000167,,,,
39,q,0.10020009999999502,0.05017920000000231,,,,
40,a,0.1319960000000009,0.01498109999999997,,,,
41,o,0.10795540000000159,0.28121669999999455,,,,
42,l,0.08375410000000016,0.06054300000000268,,,,
43,o,0.07200759999999917,0.012105599999998162,,,,
44,l,0.09182580000000229,0.03794729999999902,,,,
45,o,0.09168019999999899,0.061043699999999035,,,,
46,l,0.0719970000000032,0.05604749999999825,,,,
47,o,0.07600370000000112,0.06299930000000131,,,,
48,l,0.07991239999999777,0.021337699999996573,,,,
49,o,0.08812149999999974,0.07721989999999579,,,,
50,l,0.07600629999999597,0.08703900000000431,,,,
51,o,0.07999209999999835,0.03400219999999621,,,,
52,l,0.07198689999999885,0.025978900000005467,,,,
53,o,0.09190559999999692,0.00388759999999877,,,,
54,l,0.5520579000000012,0.07821400000000267,,,,
55,o,0.059832200000002445,0.1927108000000004,,,,
56,l,0.0879589999999979,0.04939159999999987,,,,
57,o,0.07169449999999955,0.07296099999999939,,,,
58,l,0.0999914000000004,0.0259475000000009,,,,
59,o,0.04794729999999703,0.1141957999999974,,,,
60,l,0.06387330000000446,0.02628939999999602,,,,
61,w,0.0758695999999972,0.29431220000000025,,,,
62,s,0.08396549999999792,0.03830409999999773,,,,
63,w,0.11997089999999844,0.05387449999999916,,,,
64,s,0.6276349000000039,0.07543470000000241,,,,
65,w,0.09999740000000656,0.18609849999999994,,,,
66,s,0.5599277000000029,0.06700650000000508,,,,
67,w,0.10823249999999973,0.19809119999999325,,,,
68,s,0.10012609999999711,0.03890520000000208,,,,
69,w,0.13190749999999696,0.1091774000000072,,,,
70,s,0.6280205000000052,0.08033489999999688,,,,
71,w,0.1320553999999987,0.22418449999999268,,,,
72,s,0.11196449999999913,0.13694430000001034,,,,
73,w,0.15998840000000314,0.09315540000000055,,,,
74,s,0.1119795000000039,0.10216640000000154,,,,
75,w,0.14780080000001306,0.09235569999999882,,,,
76,s,0.10402090000000896,0.07684309999999073,,,,
77,w,0.10795909999998798,0.04390109999999936,,,,
78,s,0.10000259999999628,0.037688700000003905,,,,
79,w,0.13589069999999026,0.07639060000001052,,,,
80,s,0.1438560999999936,0.10624210000000289,,,,
,,,,p/;,3.0,3.0,0.0
,,,,q/;,1.0,1.0,0.0
,,,,o/a,1.0,2.0,1.0
,,,,w/s,1.0,1.0,0.0
