count,key,pressing_time,reaction_speed
1,p,0.07811980000000052,0.3556889999999999
2,;,0.09968719999999998,0.0960504000000002
3,p,0.13292830000000055,0.10753389999999996
4,;,0.1198832000000003,0.10375140000000016
5,p,0.12017990000000012,0.035205899999999346
6,;,0.1161133999999997,0.05704250000000055
7,p,0.0961085999999991,0.09177539999999951
8,;,0.10420030000000047,0.018814799999999465
9,p,0.11596779999999995,0.027669700000000574
10,;,0.13235569999999974,0.04790429999999901
11,p,0.10793259999999982,0.06063789999999969
12,;,0.12414330000000007,0.030121899999999258
13,p,0.09233590000000014,0.017118399999999312
14,;,0.09597459999999991,0.057849499999999665
15,p,0.10046360000000121,0.07157509999999867
16,;,0.1078671,0.045039099999998555
17,p,0.12403340000000007,0.05728990000000067
18,;,0.0679938,0.025091399999999098
19,p,0.1072311999999993,0.03848089999999971
20,;,0.07218190000000035,0.016701900000001046
21,q,0.08012959999999936,0.12022709999999748
22,a,0.11199590000000015,0.18859059999999772
23,q,0.10360539999999929,0.03803450000000197
24,a,0.14368460000000027,0.0470273999999975
25,q,0.10017099999999957,0.09296470000000312
26,a,0.11630189999999985,0.05381840000000082
27,q,0.10377159999999819,0.012579399999999907
28,a,0.12372229999999718,0.10313930000000227
29,q,0.14055199999999957,0.03447670000000258
30,a,0.5278678000000028,0.10947589999999963
31,q,0.13987519999999876,0.2431970000000021
32,a,0.09221170000000001,0.003775399999998541
33,q,0.09589159999999808,0.06722260000000091
34,a,0.1321076000000012,0.04877970000000076
35,q,0.1120209999999986,0.018968799999999675
36,a,0.1354046000000011,0.01693960000000061
37,q,0.12809850000000012,0.08308640000000267
38,a,0.1163603000000002,0.10495849999999862
39,q,0.13193509999999975,0.03968749999999943
40,a,0.09953630000000047,0.016273899999998065
41,o,0.0882823999999971,0.38609890000000036
42,l,0.08395219999999881,0.0027112000000002467
43,o,0.08053149999999931,0.04747349999999528
44,l,0.6161306000000053,0.07929949999999764
45,o,0.06429980000000057,0.1685674000000006
46,l,0.05212259999999702,0.07348389999999938
47,o,0.060011700000004,0.09995459999999667
48,l,0.068015299999999,0.08048420000000078
49,o,0.07591850000000022,0.07332040000000006
50,l,0.05191579999999618,0.07806529999999867
51,o,0.08412929999999363,0.11225660000000204
52,l,0.06815220000000011,0.13544459999999958
53,o,0.10009409999999974,0.08156230000000164
54,l,0.07208559999999409,0.08891730000000564
55,o,0.09996759999999938,0.09392890000000165
56,l,0.10009429999999497,0.08486340000000325
57,o,0.10393839999999699,0.11014500000000282
58,l,0.09616869999999977,0.04429879999999997
59,o,0.09983640000000094,0.08016759999999579
60,l,0.08785420000000244,0.023715899999999124
61,w,0.10788240000000116,0.38210430000000173
62,s,0.10839699999999652,0.06386330000000129
63,w,0.47545769999999976,0.10659850000000404
64,s,0.11605029999999772,0.17756200000000177
65,w,0.1478157999999965,0.029571300000000633
66,s,0.1320799000000008,0.04274629999999746
67,w,0.12779379999999918,0.018502800000000263
68,s,0.11602919999999983,0.04502260000000291
69,w,0.12020009999999814,0.054194500000001256
70,s,0.0959430999999995,0.0417982999999964
71,w,0.1198690999999954,0.1002355000000037
72,s,0.08770059999999802,0.043152700000000266
73,w,0.10393140000000045,0.061542099999996935
74,s,0.12011300000000347,0.02636179999999655
75,w,0.11596420000000052,0.032766199999997525
76,s,0.5320055000000039,0.11327560000000148
77,w,0.12788499999999914,0.1747465000000048
78,s,0.14018090000000427,0.019731100000001334
79,w,0.1119764000000032,0.030004399999995712
80,s,0.13209780000001103,0.008415299999995796
p/;,4.0,4.0,0.0
q/;,1.0,1.0,0.0
o/a,2.0,2.0,0.0
w/s,1.0,1.0,0.0
