回数,入力キー,押下時間,反応時間
1,p,0.09869050000000001,3.2460655999999997
2,p,0.04798270000000038,0.32458299999999873
3,p,0.14391340000000064,0.22459749999999978
4,p,0.11186050000000058,0.22896919999999987
5,p,0.10396189999999805,0.18808570000000024
6,p,0.10388439999999832,0.2599513000000009
7,p,0.1642653999999979,0.2528819999999996
8,p,0.12036819999999793,0.20878260000000282
9,p,0.08398299999999992,0.2712594999999993
10,p,0.0959019000000012,0.23478379999999888
11,p,0.15588860000000082,0.38586580000000126
12,p,0.09201960000000042,1.4529385999999995
13,p,0.1520577000000003,0.26212070000000054
14,p,0.17186519999999916,0.2643991999999997
15,p,0.12377220000000122,0.3128251999999989
16,q,0.06396770000000629,1.0153508000000002
17,q,0.11206010000000077,0.47687889999999555
18,q,0.14807129999999802,0.24198919999999902
19,q,0.15163539999999642,0.21954060000000197
20,q,0.15596910000000008,0.15858329999999654
21,q,0.1443127000000004,0.18175199999999592
22,q,0.16829669999999908,0.22701109999999858
23,q,0.13998899999999992,0.18170119999999912
24,q,0.17149290000000406,0.1057002999999952
25,q,0.1600771000000023,0.12090549999999922
26,q,0.12002099999999416,0.16995770000000476
27,q,0.09590039999999789,0.17167280000000318
28,q,0.13594459999999486,0.35268990000000144
29,q,0.1118248999999949,0.12496349999999978
30,q,0.12401940000000167,0.1567043999999953
31,o,0.13212370000000817,0.5763666999999941
32,o,0.07988609999999596,0.28807450000000756
33,o,0.08417580000001124,0.2529990999999967
34,o,0.12414130000000512,0.35291130000000237
35,o,0.06803909999999291,0.46504290000000026
36,o,0.1240322999999961,0.4531487999999939
37,o,0.13208849999999472,0.15710040000000447
38,o,0.11991159999999468,0.14869360000000142
39,o,0.08786210000000949,0.3208515000000034
40,o,0.07193209999999794,0.21722180000000435
41,o,0.11199400000000992,0.26129429999998877
42,o,0.11192479999999705,0.25243460000000084
43,o,0.09598080000000664,0.21705349999999157
44,o,0.11156900000000292,0.3056917999999911
45,o,0.08801470000000222,0.276827499999996
46,w,0.12796799999999564,0.5747578000000004
47,w,0.11998800000000642,0.14798449999999264
48,w,0.1399807000000095,0.24284499999998843
49,w,0.11596350000000655,0.17246099999999842
50,w,0.11618510000000981,0.21475089999999852
51,w,0.09998099999999965,0.21500770000000102
52,w,0.13600929999999778,0.18250840000000323
53,w,0.13992700000000013,0.051022099999997295
54,w,0.11610159999999325,0.1428403999999972
55,w,0.14014129999999625,0.23773800000000733
56,w,0.13182329999999354,0.13462669999999832
57,w,0.1040770999999836,0.15751860000001727
58,w,0.11985590000000457,0.1793514000000016
59,w,0.13184680000000526,0.174870999999996
60,w,0.13196769999998992,0.24711130000000026
