count,key,pressing_time,reaction_speed
1,p,0.050392200000001,1.034163399999997
2,;,0.1480435,0.4178693000000031
3,p,0.10389520000000019,0.013912799999999947
4,;,0.15999980000000136,0.04843990000000176
5,p,0.12015960000000092,0.06471819999999795
6,;,0.13193159999999793,0.1283120000000011
7,p,0.1438297999999989,0.23225790000000046
8,;,0.15592979999999912,0.06429620000000114
9,p,0.10006569999999826,0.328800600000001
10,;,0.17201629999999923,0.4585523000000009
11,p,0.13713610000000287,0.052989000000000175
12,;,0.163990799999997,0.04077880000000178
13,p,0.14010689999999926,0.07596589999999992
14,;,0.1880008999999987,0.21426470000000108
15,p,0.15608290000000125,0.038914999999995814
16,;,0.19200909999999993,0.018928799999997636
17,p,0.20007180000000346,0.14427169999999734
18,;,0.17997889999999472,0.012102800000000968
19,p,0.13223649999999765,0.028069500000000858
20,;,0.20793739999999872,0.2993939999999995
21,q,0.1400193999999999,2.8579585000000023
22,a,0.19621829999999818,0.1346468999999999
23,q,0.09581129999999405,0.16486440000000613
24,a,0.14412089999999722,0.09421629999999936
25,q,0.18880589999999842,0.01117359999999934
26,a,0.2041394999999966,0.12741700000000122
27,q,0.17610009999999932,0.026871700000000942
28,a,0.18799090000000263,0.007206600000003505
29,q,0.18785700000000105,0.37559930000000463
30,a,0.18400440000000629,0.18924509999999373
31,q,0.19602839999998878,0.1785411000000039
32,a,0.20004140000000348,0.23312560000000815
33,q,0.17194689999999468,0.13424849999999822
34,a,0.15192220000000134,0.028720100000001025
35,q,0.2039612999999889,0.1738770000000045
36,a,0.17199730000000102,0.15214799999999684
37,q,0.17595149999999649,0.1809829000000036
38,a,0.20807709999999702,0.020625600000002464
39,q,0.2360355999999939,0.1545567999999946
40,a,0.2117240000000038,0.19061719999999127
41,o,0.13575819999999794,0.37911619999999857
42,l,0.13591089999999895,0.0138512999999989
43,o,0.15990990000000238,0.16885379999999373
44,l,0.1479573999999957,0.010740300000009029
45,o,0.10039629999999988,0.009640699999991398
46,l,0.17206849999999463,0.1007720000000063
47,o,0.18416919999999948,0.042414600000000746
48,l,0.18010369999998943,0.1433652000000052
49,o,0.12796119999998723,0.02634530000000268
50,l,0.1879185000000092,0.031571399999990035
51,o,0.1760929999999945,0.18059800000000337
52,l,0.16396720000000187,0.05546979999999735
53,o,0.16388000000000602,0.0627946000000037
54,l,0.21137310000000298,0.05412069999999858
55,o,0.15986200000000395,0.08881410000000756
56,l,0.21189610000000414,0.1775576000000001
57,o,0.12395809999999585,0.10466379999999731
58,l,0.19991720000000157,0.105953999999997
59,o,0.15982830000000092,0.12265680000000145
60,l,0.27195759999999325,0.08959989999999607
61,w,0.1582460999999995,1.2240527000000014
62,s,0.13649289999999326,0.10582270000000449
63,w,0.1721095000000048,0.007776500000005626
64,s,0.1440476000000217,0.10754359999998542
65,w,0.18392609999997944,0.00382460000000151
66,s,0.1520131000000049,0.02771359999999845
67,w,0.15187120000001642,0.04363139999998111
68,s,0.16797410000000923,0.03817309999999452
69,w,0.16399830000000293,0.042634100000014996
70,s,0.16409210000000485,0.054663599999997814
71,w,0.14396010000001525,0.12433969999997885
72,s,0.18409889999998086,0.014275499999996555
73,w,0.1715936999999883,0.06345640000000685
74,s,0.19593829999999457,0.06187750000000847
75,w,0.17193389999999908,0.0528974000000062
76,s,0.20806240000001708,0.10500439999998434
77,w,0.15202940000000353,0.21710740000000328
78,s,0.18810830000001033,0.012937399999998433
79,w,0.19593130000001224,0.12307169999999701
80,s,0.2638955999999837,0.08622030000000791
p/;,1.0,1.0,0.0
q/;,1.0,2.0,1.0
o/a,2.0,1.0,-1.0
w/s,1.0,1.0,0.0
