count,key,pressing_time,reaction_speed,
1,p,0.1057875,0.3623636,right
2,;,0.0959975,0.0746716,left
3,p,0.1039991,0.0405644,
4,;,0.0955995,0.019782,
5,p,0.1122964,0.0773944,
6,;,0.119765,0.0787704,
7,p,0.0999435,0.0474597,
8,;,0.0998574,0.0406863,
9,p,0.0919005,0.0543518,
10,;,0.0998139,0.0910688,
11,p,0.1237923,0.0821768,
12,;,0.0929363,0.023392,
13,p,0.127951,0.0834945,
14,;,0.099833,0.0141079,
15,p,0.1197996,0.0243105,
16,;,0.1080623,0.0189437,
17,p,0.1241772,0.0581056,
18,;,0.103021,0.0028379,
19,p,0.1040561,0.0933301,
20,;,0.0880754,0.0259868,
21,q,0.1001938,0.4263826,
22,a,0.1119371,0.0825017,
23,q,0.1038619,0.0586105,
24,a,0.4640712,0.123536,
25,q,0.100001,0.1967914,
26,a,0.1364589,0.0694522,
27,q,0.4800731,0.1112253,
28,a,0.1320923,0.1781842,
29,q,0.1161075,0.1519855,
30,a,0.1278565,0.0699964,
31,q,0.0958758,0.1125079,
32,a,0.0999122,0.1478871,
33,q,0.0799508,0.1045933,
34,a,0.1118517,0.1131373,
35,q,0.1038883,0.0209919,
36,a,0.1155504,0.1062676,
37,q,0.1320568,0.0084031,
38,a,0.1044586,0.0383578,
39,q,0.116163,0.028101,
40,a,0.1404506,0.014622,
41,o,0.1000823,0.3050105,
42,l,0.0840112,0.0980048,
43,o,0.0672149,0.0510456,
44,l,0.0759931,0.0233925,
45,o,0.0722391,0.1239736,
46,l,0.1116917,0.0155846,
47,o,0.0959939,0.0654515,
48,l,0.1040765,0.1041683,
49,o,0.0958841,0.024445,
50,l,0.0919929,0.0188186,
51,o,0.1002054,0.0266922,
52,l,0.0922127,0.0699267,
53,o,0.0959633,0.0349249,
54,l,0.0891299,0.0038366,
55,o,0.0959411,0.0519946,
56,l,0.1079662,0.0297741,
57,o,0.0921984,0.0240229,
58,l,0.0763485,0.0140837,
59,o,0.0956174,0.0162636,
60,l,0.0643138,0.042003,
61,w,0.1198666,0.3209857,
62,s,0.1319288,0.0788814,
63,w,0.1160481,0.0413944,
64,s,0.1002442,0.0949775,
65,w,0.0997858,0.0801657,
66,s,0.1318094,0.0220321,
67,w,0.0998389,0.0653103,
68,s,0.1120554,0.0621575,
69,w,0.1118862,0.0900179,
70,s,0.1082723,0.0178379,
71,w,0.1123836,0.0360451,
72,s,0.1318699,0.0477591,
73,w,0.1122795,0.0671313,
74,s,0.1241129,0.0291259,
75,w,0.1200854,0.0642789,
76,s,0.1116851,0.006999,
77,w,0.1079942,0.1049161,
78,s,0.1359912,0.0188895,
79,w,0.1161203,0.077956,
80,s,0.6278158,0.0951833,
p/;,4,4,0,
q/;,1,1,0,
o/a,3,3,0,
w/s,1,1,0,
