count,key,pressing time,reaction speed,0,1,2,3
1,p,0.12699390000000044,0.27864609999999956,,,,
2,;,0.10398439999999987,0.14635139999999947,,,,
3,p,0.16398560000000018,0.20699799999999957,,,,
4,;,0.13193230000000078,0.03229489999999924,,,,
5,p,0.13586700000000018,0.04012040000000017,,,,
6,;,0.13616790000000023,0.07320309999999974,,,,
7,p,0.18480350000000012,0.07072159999999972,,,,
8,;,0.14413449999999983,0.08403979999999933,,,,
9,p,0.1238646999999986,0.12417390000000061,,,,
10,;,0.16000569999999925,0.09389600000000087,,,,
11,p,0.13594699999999982,0.12040420000000118,,,,
12,;,0.13237509999999908,0.15616690000000055,,,,
13,p,0.1320837000000008,0.16184129999999897,,,,
14,;,0.09185890000000008,0.09893910000000083,,,,
15,p,0.10469800000000085,0.05582019999999943,,,,
16,;,0.09589669999999906,0.03590420000000094,,,,
17,p,0.15989639999999916,0.20498740000000026,,,,
18,;,0.1478123999999994,0.0980439999999998,,,,
19,p,0.09998610000000063,0.04823629999999923,,,,
20,;,0.12407919999999883,0.027983000000000757,,,,
21,q,0.12786009999999948,0.3570188999999999,,,,
22,a,0.15187949999999972,0.2858330000000002,,,,
23,q,0.611950499999999,0.1194822000000002,,,,
24,a,0.12037819999999755,0.21751750000000314,,,,
25,q,0.1192284999999984,0.18110610000000094,,,,
26,a,0.14000700000000066,0.08404450000000097,,,,
27,q,0.09625309999999843,0.11002279999999942,,,,
28,a,0.10395619999999894,0.10226309999999827,,,,
29,q,0.10808009999999868,0.14022040000000047,,,,
30,a,0.10402249999999924,0.07112040000000164,,,,
31,q,0.10791180000000011,0.13149470000000107,,,,
32,a,0.13210230000000323,0.10772609999999716,,,,
33,q,0.11596720000000005,0.09222899999999967,,,,
34,a,0.1039720000000024,0.10715300000000028,,,,
35,q,0.13202919999999807,0.12468910000000122,,,,
36,a,0.14806489999999783,0.0640355000000028,,,,
37,q,0.10484880000000274,0.03621820000000042,,,,
38,a,0.11599169999999859,0.032040900000001926,,,,
39,q,0.1361181000000009,0.0748072999999998,,,,
40,a,0.12785829999999976,0.21586700000000292,,,,
41,o,0.06019049999999737,0.2681034000000011,,,,
42,l,0.07614339999999942,0.044155400000001066,,,,
43,o,0.07985980000000126,0.03609989999999641,,,,
44,l,0.05217929999999882,0.031113600000004737,,,,
45,o,0.07199829999999707,0.14934040000000692,,,,
46,l,0.08806469999999678,0.062253599999998244,,,,
47,o,0.08786539999999832,0.0018760000000028754,,,,
48,l,0.08397590000000577,0.021117699999997797,,,,
49,o,0.1077570999999935,0.09021890000000354,,,,
50,l,0.09209890000000343,0.11198429999999604,,,,
51,o,0.0799972000000011,0.07506469999999865,,,,
52,l,0.08006820000000658,0.08378159999999468,,,,
53,o,0.06811919999999816,0.106668599999999,,,,
54,l,0.07606419999999758,0.10575870000000265,,,,
55,o,0.06795049999999492,0.10593320000000261,,,,
56,l,0.08015280000000047,0.10195439999999678,,,,
57,o,0.08394640000000209,0.0903320999999977,,,,
58,l,0.10405279999999806,0.047944899999997403,,,,
59,o,0.10800319999999886,0.08587490000000031,,,,
60,l,0.08801729999999708,0.058374900000004004,,,,
61,w,0.1241053999999977,0.3321885000000009,,,,
62,s,0.08402110000000107,0.08232539999999489,,,,
63,w,0.10810999999999638,0.05603820000000326,,,,
64,s,0.10802800000000445,0.03226360000000028,,,,
65,w,0.1078642999999957,0.05223660000000052,,,,
66,s,0.09603560000000044,0.04728030000000416,,,,
67,w,0.10400910000000607,0.11327080000000223,,,,
68,s,0.06112230000000807,0.08024299999999585,,,,
69,w,0.09209719999999777,0.04741480000001275,,,,
70,s,0.620094299999991,0.024072200000006205,,,,
71,w,0.11200189999999566,0.18432839999999828,,,,
72,s,0.09587489999999832,0.12432330000000036,,,,
73,w,0.11998680000000661,0.04928869999999108,,,,
74,s,0.12018120000000465,0.021897799999990752,,,,
75,w,0.10389700000000346,0.12411209999999073,,,,
76,s,0.11202480000000037,0.03613579999999672,,,,
77,w,0.08007320000000107,0.1831459999999936,,,,
78,s,0.11331459999999538,0.05891920000000539,,,,
79,w,0.09201980000000276,0.1518712000000022,,,,
80,s,0.09208959999999422,0.052072500000008404,,,,
,,,,p/;,3.0,3.5,0.5
,,,,q/;,1.0,1.0,0.0
,,,,o/a,2.0,2.0,0.0
,,,,w/s,1.0,1.0,0.0
