回数,入力キー,押下時間,反応時間
1,p,0.15529320000000002,0.8633983000000001
2,p,0.13992830000000023,0.8087267000000002
3,p,0.11608030000000014,0.4333992000000002
4,p,0.14406870000000005,0.3690927999999998
5,p,0.1519832000000001,0.4372612
6,p,0.11212990000000111,0.49315080000000044
7,p,0.10791779999999918,0.5128985000000004
8,p,0.13988979999999884,0.4667931000000003
9,p,0.1199134000000015,0.5088390999999994
10,p,0.12789049999999946,0.6451016999999997
11,p,0.14421339999999994,0.7650252000000002
12,p,0.1642450999999987,0.6359019000000021
13,p,0.1280941999999996,0.620886200000001
14,p,0.14013359999999864,0.6812006000000004
15,p,0.13985990000000115,0.4921472999999992
16,q,0.18827399999999983,0.7328133000000001
17,q,0.17186859999999982,0.33274330000000063
18,q,0.17188900000000018,0.2761238999999982
19,q,0.1757780000000011,0.4200608999999993
20,q,0.16798869999999866,0.3604258000000016
21,q,0.16806840000000278,0.3168004999999994
22,q,0.14789869999999894,0.41296150000000154
23,q,0.17601060000000146,0.4107697999999971
24,q,0.12410500000000013,0.3043787000000009
25,q,0.12398999999999916,0.4950534000000033
26,q,0.16388329999999485,0.5396507000000028
27,q,0.1480929999999958,0.416941400000006
28,q,0.11228140000000053,0.37553270000000083
29,q,0.12408149999999551,0.5358139000000008
30,q,0.1639193999999975,0.4169336000000001
31,o,0.10364510000000138,0.5631066999999987
32,o,0.12005340000000331,0.3250908999999993
33,o,0.10392889999999966,0.3859660999999974
34,o,0.08390930000000196,0.38735530000000296
35,o,0.12008240000000114,0.4793827999999962
36,o,0.10409089999999566,0.45718770000000575
37,o,0.111942599999999,0.3689509000000015
38,o,0.10409649999999715,0.43262700000000365
39,o,0.09189609999999959,0.6811440999999974
40,o,0.09598669999999743,0.4331540000000018
41,o,0.1240991999999963,0.3955580000000012
42,o,0.09199399999999969,0.464921700000005
43,o,0.09981600000000412,0.4430623999999952
44,o,0.11187359999999558,0.42884420000000034
45,o,0.07183789999999846,0.4089455000000015
