count,key,pressing_time,reaction_speed
1,p,0.10700350000000025,0.37972949999999983
2,;,0.06393369999999976,0.27460900000000077
3,p,0.08000740000000128,0.2506164999999996
4,;,0.1080401000000002,0.30153050000000015
5,p,0.09597519999999982,0.14319890000000157
6,;,0.09596840000000029,0.09786060000000063
7,p,0.11196940000000133,0.15630200000000016
8,;,0.12422980000000017,0.16214050000000135
9,p,0.11203430000000125,0.14049799999999912
10,;,0.08396459999999983,0.09104750000000017
11,p,0.11995590000000078,0.16308019999999956
12,;,0.11614390000000085,0.07729450000000071
13,p,0.060009499999999605,0.1430378999999995
14,;,0.10398170000000029,0.08695010000000103
15,p,0.08792540000000137,0.1409129999999994
16,;,0.09605649999999955,0.06968210000000141
17,p,0.08798750000000055,0.14042129999999986
18,;,0.08432780000000051,0.13329999999999842
19,p,0.09205790000000036,0.16034609999999816
20,;,0.10038349999999951,0.13356389999999863
21,q,0.10797429999999864,0.2814028999999998
22,a,0.10796450000000135,0.20472619999999964
23,q,0.1160098000000005,0.13049990000000022
24,a,0.13988849999999786,0.06662460000000081
25,q,0.07632189999999994,0.13672049999999913
26,a,0.10406409999999866,0.1610283999999993
27,q,0.09997519999999938,0.09978660000000161
28,a,0.09594299999999834,0.0847440000000006
29,q,0.10004070000000098,0.09577099999999916
30,a,0.12430029999999803,0.09442669999999964
31,q,0.09992970000000057,0.036049900000001855
32,a,0.12026820000000171,0.11305540000000036
33,q,0.10408420000000262,0.07599450000000019
34,a,0.14022069999999687,0.10712980000000272
35,q,0.08010439999999974,0.08140240000000176
36,a,0.09193379999999962,0.10641430000000085
37,q,0.10808600000000013,0.08577899999999872
38,a,0.13198919999999603,0.052404700000000304
39,q,0.11202879999999737,0.11788250000000033
40,a,0.12011830000000145,0.045517699999997774
41,o,0.10403860000000265,0.3329749999999976
42,l,0.05623250000000013,0.1369551999999956
43,o,0.047995900000003644,0.16475259999999992
44,l,0.07630989999999827,0.10884310000000141
45,o,0.05591649999999504,0.10103880000000487
46,l,0.08398609999999707,0.08096199999999953
47,o,0.07588319999999982,0.06406919999999872
48,l,0.06807279999999594,0.073635000000003
49,o,0.07595949999999618,0.0656864999999982
50,l,0.09191690000000108,0.07107480000000521
51,o,0.08000809999999348,0.04035879999999992
52,l,0.07999780000000101,0.04755219999999838
53,o,0.09211080000000038,0.06317529999999749
54,l,0.07989759999999535,0.023401900000003195
55,o,0.07202230000000043,0.06835499999999683
56,l,0.08365039999999624,0.046846299999998564
57,o,0.08393259999999714,0.053675800000000606
58,l,0.08810819999999353,0.02830520000000547
59,o,0.07587379999999655,0.08989840000000271
60,l,0.07603879999999918,0.09100030000000459
61,w,0.09635699999999758,0.3228002000000032
62,s,0.04409899999999567,0.12335080000000431
63,w,0.09599910000000023,0.11807880000000637
64,s,0.09208269999999885,0.06827870000000047
65,w,0.09597180000000094,0.05231399999999553
66,s,0.10010669999999777,0.07848469999999708
67,w,0.09601070000000078,0.08242699999999559
68,s,0.059999900000001105,0.050683499999998105
69,w,0.0839730000000003,0.08342899999999531
70,s,0.12408770000000402,0.016177899999995304
71,w,0.09596059999999795,0.06976560000000376
72,s,0.10401569999999793,0.020272900000001925
73,w,0.08805980000000346,0.12124199999999519
74,s,0.07989169999999746,0.05760060000000067
75,w,0.09605179999999791,0.04481630000000081
76,s,0.10411759999999504,0.02302330000000552
77,w,0.08786680000000047,0.038187699999994607
78,s,0.09210760000000562,0.06306309999999371
79,w,0.0919638999999961,0.05658780000000263
80,s,0.1280143000000038,0.01156449999999154
p/;,3.0,3.0,0.0
q/;,1.0,1.0,0.0
o/a,2.0,2.0,0.0
w/s,1.0,1.0,0.0
