回数,入力キー,押下時間,反応時間
1,p,0.11887549999999969,0.6183185
2,p,0.11999620000000011,0.2952813000000001
3,p,0.13990420000000015,0.4596378999999997
4,p,0.14786110000000008,0.2681956999999997
5,p,0.13198689999999935,0.25673250000000003
6,p,0.12353020000000114,0.26063159999999996
7,p,0.164321300000001,0.24105759999999954
8,p,0.1602566999999997,0.17286720000000066
9,p,0.11612199999999895,0.24091100000000054
10,p,0.15165870000000048,0.2411607
11,p,0.13211960000000111,0.27612919999999974
12,p,0.14407239999999888,0.2052227000000002
13,p,0.08806690000000117,0.17998679999999823
14,p,0.11996819999999886,0.28737160000000017
15,p,0.1320730999999995,0.16407189999999972
16,q,0.11196280000000058,0.4447693999999984
17,q,0.10383499999999657,0.24500030000000095
18,q,0.13988659999999697,0.2208954000000034
19,q,0.1437898000000004,0.3127294999999961
20,q,0.09610770000000457,0.23102889999999832
21,q,0.12398850000000294,0.19276610000000005
22,q,0.12766200000000083,0.3214769000000004
23,q,0.18820580000000575,0.20901379999999392
24,q,0.16005340000000245,0.19249560000000088
25,q,0.13990009999999842,0.0970338000000055
26,q,0.12002299999999622,0.15556090000000466
27,q,0.11613069999999936,0.255664000000003
28,q,0.13204660000000246,0.09414639999999963
29,q,0.12796149999999784,0.24884420000000063
30,q,0.1520103000000006,0.10484539999999498
31,o,0.12795899999999705,0.47690340000000475
32,o,0.09998470000000026,0.1314548000000002
33,o,0.11603979999999581,0.20906210000000414
34,o,0.09998539999999423,0.1449053000000049
35,o,0.09195509999999985,0.20878330000000034
36,o,0.10396149999999693,0.5879758999999964
37,o,0.13567299999999705,0.1914580999999984
38,o,0.12803449999999827,0.1722563000000008
39,o,0.09186309999999764,0.18082580000000092
40,o,0.11593889999999618,0.2604498000000035
41,o,0.1359439000000009,0.15491869999999608
42,o,0.10518400000000838,0.14449489999999798
43,o,0.11603169999999352,0.2030048000000022
44,o,0.11594809999999711,0.24030340000000194
45,o,0.12418710000000033,0.1730921000000052
46,w,0.12799280000000124,0.4160669999999982
47,w,0.13223689999999522,0.08179150000000845
48,w,0.14387890000000425,0.16696109999999464
49,w,0.11598270000000355,0.19817919999999845
50,w,0.14791910000000996,0.10117489999998952
51,w,0.15189859999999555,0.08892140000000381
52,w,0.1879962000000006,0.1327552000000054
53,w,0.14807270000000017,0.09988439999999343
54,w,0.12795969999999102,0.09292709999999715
55,w,0.1280146000000002,0.0780041999999952
56,w,0.1318600000000032,0.11313189999999906
57,w,0.13628820000000985,0.015672699999996098
58,w,0.13602740000000324,0.15288419999998837
59,w,0.11997949999999946,0.16516850000000716
60,w,0.11196980000001133,0.05737399999999582
