回数,入力キー,押下時間,反応時間
1,p,0.06701990000000002,0.33274960000000053
2,p,0.0318290999999995,0.21513450000000045
3,p,0.07997660000000018,0.5122002000000005
4,p,0.07991809999999955,0.24108770000000046
5,p,0.0680689000000001,0.21093169999999972
6,p,0.07208550000000002,0.15087709999999888
7,p,0.07208090000000134,0.15927179999999908
8,p,0.06409480000000123,0.12371299999999863
9,p,0.06800599999999868,0.10695779999999999
10,p,0.04812710000000031,0.08667890000000078
11,p,0.07593989999999984,0.0551017999999992
12,p,0.11201179999999944,0.24909150000000047
13,p,0.08798990000000018,0.32109840000000034
14,p,0.08391359999999892,0.1193963999999994
15,p,0.09589320000000079,0.21291090000000068
16,q,0.09994410000000187,0.2937915999999916
17,q,0.06821759999999699,0.24267179999999655
18,q,0.07592160000000092,0.09503599999999324
19,q,0.06787119999999902,0.13698139999999626
20,q,0.07999960000000783,0.08814399999999978
21,q,0.10412709999999947,0.17964750000000151
22,q,0.10784689999999841,0.1282400999999993
23,q,0.096047200000001,0.16412640000000067
24,q,0.07990259999999694,0.12079740000000072
25,q,0.09189560000000085,0.07507660000000271
26,q,0.09998420000000863,0.08570170000000132
27,q,0.09984029999999677,0.11313040000000285
28,q,0.10370770000000107,0.08543869999999743
29,q,0.10790229999999212,0.09919070000000829
30,q,0.088265700000008,0.2063887000000051
31,o,0.06397360000001129,0.28923580000000015
32,o,0.06813230000000203,0.16106499999999357
33,o,0.07185829999998816,0.02822300000001121
34,o,0.07998940000000232,0.015235200000006444
35,o,0.052047100000010005,0.23583109999999863
36,o,0.07599390000000028,0.06327060000000984
37,o,0.05203709999999262,0.030898300000004042
38,o,0.09590090000000373,0.09507750000000215
39,o,0.05197490000000471,0.09204400000000135
40,o,0.5320251999999925,0.0679125000000056
41,o,0.044061100000007514,0.28018919999999525
42,o,0.05198570000000302,0.26731639999999857
43,o,0.07198990000000549,0.17498569999999347
44,o,0.08399419999999225,0.13867460000000165
45,o,0.10401720000000125,0.31120999999998844
46,w,0.07612880000002065,0.2767709000000025
47,w,0.05576000000002068,0.11547379999998952
48,w,0.07598730000000842,0.10363530000000765
49,w,0.06806209999999169,0.11114520000000994
50,w,0.07998090000000957,0.07118589999998903
51,w,0.08405870000001414,0.047262499999987995
52,w,0.09195100000002299,0.359097399999996
53,w,0.08799080000000004,0.13509990000000016
54,w,0.08813599999999155,0.15981170000000589
55,w,0.10384389999998689,0.11868590000000268
56,w,0.07194440000000668,0.1010923000000048
57,w,0.11612990000000423,0.1770400000000052
58,w,0.056005699999985836,0.013038899999997966
59,w,0.09988949999998908,0.05313639999999964
60,w,0.06823759999997492,0.14071770000001038
